Comment,Designator,Footprint,LCSC Part #
LED2X4-J,LED1 LED2 LED3 LED4,LED2X4-J,
MA03-1J,SV1 SV2 SV3 SV4,MA03-1J,
1N4148SOD323,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12,SOD323J,
47k,R1 R2 R3 R4 R5 R6 R10 R11 R12 R13 R14 R15 R16 R17 R20 R22 R23 R24 R25 R26 R29 R31 R32 R33 R34 R35 R36 R39,R0603,
56k,R8 R19 R28 R38,R0603,
100R,R7 R18 R27 R37,R0603,
100n,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12,C0603,
470R,R9 R21 R30 R40,R0603,
CONN-IDC-10PA,B2B-O PWR,CONN-IDC10P-A,
TL072JD,IC1 IC2 IC3 IC4 IC5 IC6,SO08J,
WJ300V-5.0-3P,X1 X2 X3 X4,WJ300V-5.0-3P,
